tradingDate,weekDay,description,Sr_no
26-Jan-2021,Tuesday,Republic Day,1
19-Feb-2021,Friday,Chhatrapati Shivaji Maharaj Jayanti,2
11-Mar-2021,Thursday,Mahashivratri,3
29-Mar-2021,Monday,Holi,4
01-Apr-2021,Thursday,Annual Bank Closing,5
02-Apr-2021,Friday,Good Friday,6
13-Apr-2021,Tuesday,Gudi Padwa,7
14-Apr-2021,Wednesday,Dr. Babasaheb Ambedkar Jayanti,8
21-Apr-2021,Wednesday,Ram Navami,9
13-May-2021,Thursday,Id-Ul-Fitr (Ramzan ID),10
26-May-2021,Wednesday,Buddha Pournima,11
21-Jul-2021,Wednesday,Bakri Id,12
16-Aug-2021,Monday,Parsi New Year,13
19-Aug-2021,Thursday,Moharram,14
10-Sep-2021,Friday,Ganesh Chaturthi,15
15-Oct-2021,Friday,Dusshera,16
19-Oct-2021,Tuesday,Id-E-Milad,17
04-Nov-2021,Thursday,Diwali- Laxmi Pujan,18
05-Nov-2021,Friday,Diwali-Balipratipada,19
19-Nov-2021,Friday,Gurunanak Jayanti,20
